    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
           Plate\_1\_1	  481	           1	-7,50000000000000E+000	 2,85000000000000E+000	 1,11871182848033E+000	-8,04530658812172E-001	1,11871182848033E+000	 2,89187091961357E+000	-9,36710463384537E-002	2,89271215493922E+000	 9,79771819231701E-015	-6,30523411260242E-013	3,66623398306842E-013
   Element 1-1 (Plate)	  480	           2	-7,50000000000000E+000	 2,51250000000000E+000	-4,45243446692051E+000	-5,26598259238743E+000	5,86208363179141E-005	-1,04472248586552E+001	-1,26420993915753E+001	1,69367103826703E+000	-1,21710641376616E+000	-1,70306000874940E+000	3,13423271299049E-001
                (ERSS)	  479	           3	-7,50000000000000E+000	 2,17500000000000E+000	-1,02173134669257E+001	-1,07781219452398E+001	3,29549126897870E-005	-2,54152184533834E+001	-2,70787179956065E+001	2,47531139895095E+000	-7,24433491663891E+000	-8,39232268638222E+000	1,03419525045104E+000
                      	  478	           4	-7,50000000000000E+000	 1,83750000000000E+000	-1,60266325304913E+001	-1,60266325304913E+001	1,74607721085982E-005	-4,16255470395696E+001	-4,16255470395696E+001	2,57518838288977E+000	-1,85160310880022E+001	-1,99423730927473E+001	1,90081049994095E+000
                      	  482	           5	-7,50000000000000E+000	 1,50000000000000E+000	-2,17310990165731E+001	-2,17310990165731E+001	1,52355267939873E-005	-5,86916477922122E+001	-5,86916477922122E+001	2,52169863006703E+000	-3,54284976270354E+001	-3,62762473975197E+001	2,68589307815659E+000
           Plate\_2\_1	 8264	           1	 7,50000000000000E+000	 2,85000000000000E+000	 1,09057188098310E+000	-8,29799505828942E-001	1,11301454693183E+000	-2,81907175741686E+000	-2,91678239613714E+000	1,15953671072640E-001	 1,33226762955019E-015	-6,68284871885305E-013	5,12059145085786E-013
   Element 2-2 (Plate)	 8265	           2	 7,50000000000000E+000	 2,51250000000000E+000	-4,45928627418721E+000	-5,21686689833524E+000	5,92449883760940E-005	 1,04652011310989E+001	-1,70839787254120E+000	1,30799472368493E+001	 1,23092244083339E+000	-3,10337921539204E-001	1,77794383143419E+000
                (ERSS)	 8266	           3	 7,50000000000000E+000	 2,17500000000000E+000	-1,02213010861815E+001	-1,06949933623915E+001	3,35130310771238E-005	 2,54258797780963E+001	-2,50190406608942E+000	2,77809131927749E+001	 7,26192262114631E+000	-1,03842117448659E+000	8,67337366553357E+000
                      	 8267	           4	 7,50000000000000E+000	 1,83750000000000E+000	-1,60438903826515E+001	-1,60441381573572E+001	1,77458822228144E-005	 4,16706953214277E+001	-2,57509762552508E+000	4,20290570367024E+001	 1,85417453565860E+001	-1,91243710325462E+000	2,04811674972903E+001
                      	 8268	           5	 7,50000000000000E+000	 1,50000000000000E+000	-2,17754719912487E+001	-2,17754719912487E+001	1,51321887008357E-005	 5,88073788989457E+001	-2,49220780802153E+000	5,88073788989457E+001	 3,54805071237481E+001	-2,68516526583893E+000	3,70868594477155E+001
