    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
                      	 7767	           4	 7,50000000000000E+000	 7,50000000000000E-001	-3,53378901817869E+001	-3,53378901817869E+001	1,86711199404051E-005	-5,65960656637974E+001	-1,04490372219701E+002	4,11825650859765E+001	-2,39348972780924E+001	-5,34597259948961E+001	3,30087262143010E+001
                      	 7764	           5	 7,50000000000000E+000	 5,00000000000000E-001	-3,96209865074327E+001	-3,96209865074327E+001	2,06816785433204E-005	-4,12501631588732E+001	-9,37876116755259E+001	5,01422593516602E+001	-3,61526687008266E+001	-7,82331080577605E+001	4,44090795459115E+001
           Plate\_1\_3	  464	           1	-7,50000000000000E+000	 5,00000000000000E-001	-4,01414186283062E+001	-4,01414186283062E+001	2,06659355514839E-005	 3,99042186454971E+001	-5,00605130992012E+001	9,42937164280483E+001	 3,59573281435719E+001	-4,47416571376446E+001	7,95427348686834E+001
  Element 6-10 (Plate)	  295	           2	-7,50000000000000E+000	 8,33333333333334E-002	-4,76674822622094E+001	-4,76674822622094E+001	2,40521324362777E-005	 1,19628382890710E+001	-6,07454983807520E+001	7,74577900012534E+001	 4,67973214612949E+001	-6,79720641224413E+001	1,15338415315022E+002
                (ERSS)	  294	           3	-7,50000000000000E+000	-3,33333333333333E-001	-5,50706897581319E+001	-5,50706897581319E+001	2,67597521124479E-005	-1,73779685994709E+001	-6,66371333871077E+001	5,94690978355533E+001	 4,57365388679083E+001	-9,46992803919498E+001	1,43940517778501E+002
                      	  293	           4	-7,50000000000000E+000	-7,50000000000000E-001	-6,24970263275375E+001	-6,24970263275375E+001	2,87848896072836E-005	-4,84877656307054E+001	-6,70899469731966E+001	3,98092375815115E+001	 3,20667732448266E+001	-1,22711900862116E+002	1,64675468208776E+002
                      	  292	           5	-7,50000000000000E+000	-1,16666666666667E+000	-7,00924771818899E+001	-7,00924771818899E+001	3,01236399480740E-005	-8,17361164152091E+001	-8,17361164152091E+001	1,79598068896914E+001	 5,02876408167882E+000	-1,49737647298188E+002	1,76801291573951E+002
           Plate\_1\_3	  292	           1	-7,50000000000000E+000	-1,16666666666667E+000	-7,00733388864849E+001	-7,00733388864849E+001	3,01603082569672E-005	-8,16912639116846E+001	-8,16912639116846E+001	1,80198293001490E+001	 5,02876408167882E+000	-1,49737647298188E+002	1,76801291573950E+002
  Element 6-11 (Plate)	   45	           2	-7,50000000000000E+000	-1,37500000000000E+000	-7,35192054897885E+001	-7,35192054897885E+001	3,06262972500084E-005	-9,80456728213127E+001	-9,80456728213127E+001	7,63725393572977E+000	-1,36857024226269E+001	-1,62460263229564E+002	1,79475691091839E+002
                (ERSS)	   44	           3	-7,50000000000000E+000	-1,58333333333333E+000	-7,68435446295732E+001	-7,68435446295732E+001	3,09866641192983E-005	-1,14518741556445E+002	-1,14518741556445E+002	0,00000000000000E+000	-3,58339081481162E+001	-1,74567309293706E+002	1,79967273218360E+002
                      	   43	           4	-7,50000000000000E+000	-1,79166666666667E+000	-8,00201417477094E+001	-8,00201417477094E+001	3,12450283950933E-005	-1,31036984905921E+002	-1,31036984905921E+002	1,63293243023406E-006	-6,14160077714055E+001	-1,86163408176213E+002	1,78205741853232E+002
                      	   66	           5	-7,50000000000000E+000	-2,00000000000000E+000	-8,30227822860673E+001	-8,30227822860673E+001	3,14050096076500E-005	-1,47526917658583E+002	-1,47526917658583E+002	9,91590015967349E-006	-9,04286142171918E+001	-1,97375489600717E+002	1,74112694409208E+002
           Plate\_2\_3	 7764	           1	 7,50000000000000E+000	 5,00000000000000E-001	-3,99051735150871E+001	-3,99051735150871E+001	2,06077551849727E-005	-4,05123132594846E+001	-9,41548344003503E+001	4,96937272266754E+001	-3,61526687008267E+001	-7,82331080577604E+001	4,44090795459115E+001
  Element 9-16 (Plate)	 7671	           2	 7,50000000000000E+000	 8,33333333333334E-002	-4,75345761370621E+001	-4,75345761370621E+001	2,39445532032271E-005	-1,23007441384548E+001	-7,73268841282513E+001	6,06422129305713E+001	-4,71174860597811E+001	-1,13906897377630E+002	6,75941866036355E+001
                (ERSS)	 7672	           3	 7,50000000000000E+000	-3,33333333333333E-001	-5,46705411301236E+001	-5,46705411301236E+001	2,66080676307657E-005	 1,63523002070220E+001	-6,01863788197570E+001	6,61274842693362E+001	-4,63725695716739E+001	-1,42662948469715E+002	9,41560088649840E+001
                      	 7673	           4	 7,50000000000000E+000	-7,50000000000000E-001	-6,18809366436353E+001	-6,18809366436353E+001	2,85939728711756E-005	 4,69070157506349E+001	-4,11926413908318E+001	6,60097881731166E+001	-3,32234410274473E+001	-1,63816549499566E+002	1,21815981818029E+002
                      	 8784	           5	 7,50000000000000E+000	-1,16666666666667E+000	-6,97336308269607E+001	-6,97336308269607E+001	2,98979433280444E-005	 8,08235984660733E+001	-1,88049947574403E+001	8,08235984660733E+001	-6,78614818126534E+000	-1,76484866618701E+002	1,48326226189863E+002
           Plate\_2\_3	 8784	           1	 7,50000000000000E+000	-1,16666666666667E+000	-6,96222434724269E+001	-6,96222434724269E+001	2,99361087458120E-005	 8,05402496146199E+001	-1,91113798517620E+001	8,05402496146199E+001	-6,78614818126533E+000	-1,76484866618701E+002	1,48326226189863E+002
  Element 9-17 (Plate)	 8781	           2	 7,50000000000000E+000	-1,37500000000000E+000	-7,33927554553586E+001	-7,33927554553586E+001	3,03867965107412E-005	 9,77355018833227E+001	-8,01085029576316E+000	9,77355018833227E+001	 1,17807069124366E+001	-1,79305580171647E+002	1,60848745265727E+002
                (ERSS)	 8782	           3	 7,50000000000000E+000	-1,58333333333333E+000	-7,69620208712743E+001	-7,69620208712743E+001	3,07348847787052E-005	 1,14843332329431E+002	 0,00000000000000E+000	1,14843332329431E+002	 3,39323517006380E+001	-1,79830758588112E+002	1,72855605949034E+002
